claim_id,account_id,claim_date,promo_type,claim_amount,payout_upi_id,split
CLM0000025,ACC000022,2026-10-11 04:20:07,referral_bonus,10.83,adviksundaram562@ybl,test
CLM0000026,ACC000023,2026-07-24 18:08:53,cashback_offer,4.02,aayush26445@okhdfcbank,train
CLM0000027,ACC000023,2026-08-26 19:26:39,signup_bonus,17.15,aayush26445@okhdfcbank,train
CLM0000028,ACC000023,2026-07-27 13:13:50,reload_offer,8.75,aayush26445@okhdfcbank,train
CLM0000029,ACC000023,2026-08-31 00:59:10,referral_bonus,117.25,aayush26445@okhdfcbank,train
CLM0000030,ACC000023,2026-09-04 14:10:11,signup_bonus,129.5,aayush26445@okhdfcbank,train
CLM0000031,ACC000024,2026-12-02 17:10:11,referral_bonus,35.0,jeremiah89835@ybl,test
CLM0000032,ACC000025,2026-12-13 05:56:34,referral_bonus,20.28,zramanathan624@oksbi,test
CLM0000033,ACC000025,2026-12-18 05:26:16,signup_bonus,171.48,zramanathan624@oksbi,test
CLM0000034,ACC000025,2026-12-25 18:40:12,reload_offer,70.0,zramanathan624@oksbi,test
CLM0000035,ACC000026,2026-11-12 12:16:44,referral_bonus,18.53,mbhatia59@okhdfcbank,test
CLM0000036,ACC000026,2026-11-27 15:33:40,referral_bonus,18.53,mbhatia59@okhdfcbank,test
CLM0000037,ACC000026,2026-11-08 15:26:55,cashback_offer,10.15,mbhatia59@okhdfcbank,test
CLM0000038,ACC000028,2026-11-24 22:06:15,referral_bonus,17.5,harrisonpatla945@ybl,test
CLM0000039,ACC000028,2026-12-10 05:38:07,signup_bonus,20.28,harrisonpatla945@ybl,test
CLM0000040,ACC000028,2026-11-21 01:05:49,cashback_offer,17.15,harrisonpatla945@ybl,test
CLM0000041,ACC000030,2026-08-29 06:30:22,reload_offer,2.93,urvi11260@okhdfcbank,train
CLM0000042,ACC000031,2026-03-26 23:35:00,signup_bonus,10.83,esrinivasan166@paytm,train
CLM0000043,ACC000032,2026-05-19 18:32:43,signup_bonus,20.28,alka7220@okicici,train
CLM0000044,ACC000033,2026-07-23 05:47:19,cashback_offer,15.57,manan80941@okhdfcbank,train
CLM0000045,ACC000033,2026-07-23 03:39:56,cashback_offer,19.92,manan80941@okhdfcbank,train
CLM0000046,ACC000034,2026-12-07 17:39:31,referral_bonus,17.5,lalzarna416@okhdfcbank,test
CLM0000047,ACC000035,2026-05-30 06:30:00,referral_bonus,55.98,yadavinarayan436@oksbi,train
CLM0000048,ACC000036,2026-09-04 01:43:46,signup_bonus,11.9,wriddhishrattan271@oksbi,train
CLM0000049,ACC000037,2026-08-26 00:39:05,signup_bonus,19.6,uparekh727@okhdfcbank,train
CLM0000050,ACC000038,2026-10-04 19:40:06,signup_bonus,10.15,urmi43297@okaxis,test
CLM0000051,ACC000040,2026-02-26 13:05:53,cashback_offer,35.0,vhegde673@okaxis,train
CLM0000052,ACC000040,2026-04-08 00:36:17,signup_bonus,37.45,vhegde673@okaxis,train
CLM0000053,ACC000040,2026-02-19 23:54:35,cashback_offer,37.78,vhegde673@okaxis,train
CLM0000054,ACC000041,2026-06-02 15:47:50,reload_offer,52.5,srinivashemangini858@okhdfcbank,train
CLM0000055,ACC000042,2026-11-22 11:23:57,reload_offer,52.5,ramaryan614@okhdfcbank,test
CLM0000056,ACC000042,2026-11-13 05:46:06,signup_bonus,37.78,ramaryan614@okhdfcbank,test
CLM0000057,ACC000044,2026-04-08 02:58:21,referral_bonus,56.17,onkardatta86@okaxis,train
CLM0000058,ACC000045,2026-02-21 08:13:33,cashback_offer,10.15,ndhingra148@okaxis,train
CLM0000059,ACC000045,2026-02-08 03:46:07,cashback_offer,20.28,ndhingra148@okaxis,train
CLM0000060,ACC000045,2026-03-14 12:58:35,reload_offer,40.95,ndhingra148@okaxis,train
CLM0000061,ACC000045,2026-03-20 22:43:19,reload_offer,113.75,ndhingra148@okaxis,train
CLM0000062,ACC000047,2026-10-31 09:55:14,cashback_offer,20.65,vyasliam932@ybl,test
CLM0000063,ACC000048,2026-03-05 12:32:25,referral_bonus,17.15,ayaankrishnamurthy653@okicici,train
CLM0000064,ACC000049,2026-10-09 14:16:45,referral_bonus,115.85,aashi86502@okicici,test
CLM0000065,ACC000050,2026-09-10 00:35:12,reload_offer,87.5,tara98259@oksbi,train
CLM0000066,ACC000050,2026-09-27 08:21:35,reload_offer,20.28,tara98259@oksbi,train
CLM0000067,ACC000051,2026-03-05 16:57:30,signup_bonus,55.98,maxviswanathan786@oksbi,train
CLM0000068,ACC000052,2026-04-19 05:14:18,referral_bonus,117.25,aayushdoctor637@ybl,train
CLM0000069,ACC000052,2026-05-14 14:57:08,reload_offer,79.1,aayushdoctor637@ybl,train
CLM0000070,ACC000052,2026-04-20 13:02:20,signup_bonus,40.25,aayushdoctor637@ybl,train
CLM0000071,ACC000055,2026-06-12 11:18:51,signup_bonus,26.95,chaudhariyashica77@ybl,train
CLM0000072,ACC000056,2026-11-29 11:36:54,reload_offer,54.23,savanteshana237@okaxis,test
CLM0000073,ACC000056,2026-12-30 20:02:52,reload_offer,17.15,savanteshana237@okaxis,test
CLM0000074,ACC000056,2026-12-08 01:22:14,cashback_offer,31.5,savanteshana237@okaxis,test
CLM0000075,ACC000056,2026-12-14 21:51:43,reload_offer,6.15,savanteshana237@okaxis,test
CLM0000076,ACC000057,2026-06-21 08:19:19,referral_bonus,37.45,aradhanasethi2@okicici,train
CLM0000077,ACC000059,2026-12-20 20:36:37,cashback_offer,48.98,ramanathanriya875@oksbi,test
CLM0000078,ACC000059,2026-12-18 16:20:26,signup_bonus,126.33,ramanathanriya875@oksbi,test
CLM0000079,ACC000060,2026-07-26 19:14:29,reload_offer,52.5,nbora792@okicici,train
CLM0000080,ACC000063,2026-04-28 08:11:30,cashback_offer,20.65,qgaba416@paytm,train
CLM0000081,ACC000064,2026-10-22 11:41:47,reload_offer,60.9,zvarma513@okaxis,test
CLM0000082,ACC000064,2026-09-18 08:15:41,cashback_offer,40.95,zvarma513@okaxis,train
CLM0000083,ACC000065,2026-05-03 10:00:53,referral_bonus,37.78,george50570@oksbi,train
CLM0000084,ACC000065,2026-05-14 05:16:20,reload_offer,5.58,george50570@oksbi,train
CLM0000085,ACC000066,2026-06-06 07:57:42,signup_bonus,15.4,rajagopalangarima216@okaxis,train
CLM0000086,ACC000066,2026-05-28 05:35:47,cashback_offer,72.97,rajagopalangarima216@okaxis,train
CLM0000087,ACC000066,2026-05-26 05:40:47,cashback_offer,155.75,rajagopalangarima216@okaxis,train
CLM0000088,ACC000067,2026-06-15 04:46:38,reload_offer,59.85,chowdhuryveer443@okicici,train
CLM0000089,ACC000067,2026-07-17 18:48:52,reload_offer,21.0,chowdhuryveer443@okicici,train
CLM0000090,ACC000068,2026-01-14 10:48:01,cashback_offer,87.5,anita02876@okaxis,train
CLM0000091,ACC000068,2026-02-01 08:44:02,referral_bonus,10.83,anita02876@okaxis,train
CLM0000092,ACC000070,2026-04-27 07:33:32,reload_offer,37.97,fnarain661@paytm,train
CLM0000093,ACC000072,2026-04-24 21:34:05,cashback_offer,17.14,ladfiyaz2@oksbi,train
CLM0000094,ACC000072,2026-05-04 10:27:07,cashback_offer,17.15,ladfiyaz2@oksbi,train
CLM0000095,ACC000073,2026-09-10 05:34:36,reload_offer,52.85,jairaj70722@paytm,train
CLM0000096,ACC000073,2026-07-24 00:10:02,cashback_offer,16.45,jairaj70722@paytm,train
CLM0000097,ACC000073,2026-08-28 04:23:10,signup_bonus,33.95,jairaj70722@paytm,train
CLM0000098,ACC000074,2026-05-11 15:43:32,referral_bonus,43.75,kai08736@okaxis,train
CLM0000099,ACC000074,2026-04-06 03:28:04,cashback_offer,20.28,kai08736@okaxis,train
CLM0000100,ACC000074,2026-04-12 12:49:25,cashback_offer,11.54,kai08736@okaxis,train
CLM0000101,ACC000075,2026-04-06 23:15:36,cashback_offer,87.5,adwetabedi779@okicici,train
CLM0000102,ACC000076,2026-06-28 01:42:45,cashback_offer,49.35,samesh47972@ybl,train
CLM0000103,ACC000076,2026-07-21 13:50:30,referral_bonus,183.73,samesh47972@ybl,train
CLM0000104,ACC000076,2026-07-07 16:47:53,reload_offer,17.5,samesh47972@ybl,train
CLM0000105,ACC000076,2026-08-19 13:02:54,signup_bonus,59.85,samesh47972@ybl,train
CLM0000106,ACC000078,2026-01-12 05:05:25,signup_bonus,20.28,yoshitasoman860@okicici,train
CLM0000107,ACC000080,2026-11-23 09:44:07,signup_bonus,8.04,tanveer3551@paytm,test
CLM0000108,ACC000081,2026-05-15 13:53:47,referral_bonus,41.37,nidhipalan32@paytm,train
CLM0000109,ACC000082,2026-07-05 01:19:45,referral_bonus,52.5,bobalaadhya264@okhdfcbank,train
CLM0000110,ACC000086,2026-12-11 14:12:33,reload_offer,7.23,tejas52843@paytm,test
CLM0000111,ACC000086,2026-11-11 15:05:46,referral_bonus,51.1,tejas52843@paytm,test
CLM0000112,ACC000087,2026-07-26 07:59:02,reload_offer,35.0,gmallick254@okaxis,train
CLM0000113,ACC000087,2026-08-28 19:05:44,referral_bonus,23.47,gmallick254@okaxis,train
CLM0000114,ACC000089,2026-04-25 15:09:55,referral_bonus,105.0,ramesharin472@ybl,train
CLM0000115,ACC000089,2026-04-21 14:20:41,signup_bonus,26.95,ramesharin472@ybl,train
CLM0000116,ACC000091,2026-05-08 12:25:10,cashback_offer,10.83,unanda289@ybl,train
CLM0000117,ACC000091,2026-04-17 22:46:33,referral_bonus,26.95,unanda289@ybl,train
CLM0000118,ACC000092,2026-10-20 13:36:41,referral_bonus,5.58,calebvarghese5@okaxis,test
CLM0000119,ACC000092,2026-10-18 07:37:15,cashback_offer,12.58,calebvarghese5@okaxis,test
CLM0000120,ACC000093,2026-04-06 19:30:59,reload_offer,40.95,yaminibabu997@ybl,train
CLM0000121,ACC000098,2026-11-27 22:47:35,reload_offer,54.24,lankawahab159@paytm,test
CLM0000122,ACC000100,2026-05-31 09:22:55,cashback_offer,20.28,chakradhar93660@okhdfcbank,train
CLM0000123,ACC000101,2026-06-11 20:17:10,referral_bonus,13.65,daksha99416@ybl,train
CLM0000124,ACC000101,2026-07-07 03:21:03,reload_offer,40.95,daksha99416@ybl,train
CLM0000125,ACC000101,2026-06-09 09:19:36,signup_bonus,5.39,daksha99416@ybl,train
CLM0000126,ACC000102,2026-10-03 05:47:06,reload_offer,40.25,rluthra357@okicici,test
CLM0000127,ACC000104,2026-08-14 06:59:46,cashback_offer,10.83,jdani949@paytm,train
CLM0000128,ACC000105,2026-09-02 21:33:40,cashback_offer,17.26,sbadal636@okaxis,train
CLM0000129,ACC000107,2026-12-13 08:23:48,referral_bonus,73.48,falanchana906@ybl,test
CLM0000130,ACC000107,2026-11-16 10:44:50,reload_offer,361.53,falanchana906@ybl,test
CLM0000131,ACC000107,2026-11-26 01:27:26,signup_bonus,20.65,falanchana906@ybl,test
CLM0000132,ACC000107,2026-12-01 23:58:58,signup_bonus,7.61,falanchana906@ybl,test
CLM0000133,ACC000107,2026-11-28 00:21:44,reload_offer,20.65,falanchana906@ybl,test
CLM0000134,ACC000108,2026-06-21 04:04:19,cashback_offer,20.65,kevin98516@okaxis,train
CLM0000135,ACC000108,2026-06-18 14:36:32,reload_offer,20.65,kevin98516@okaxis,train
CLM0000136,ACC000108,2026-07-11 23:48:53,reload_offer,117.25,kevin98516@okaxis,train
CLM0000137,ACC000108,2026-06-15 19:40:58,referral_bonus,44.08,kevin98516@okaxis,train
CLM0000138,ACC000109,2026-03-27 03:12:35,referral_bonus,109.18,vihaan7794@okaxis,train
CLM0000139,ACC000109,2026-04-13 06:36:07,signup_bonus,13.65,vihaan7794@okaxis,train
CLM0000140,ACC000109,2026-04-04 14:32:11,referral_bonus,11.9,vihaan7794@okaxis,train
CLM0000141,ACC000109,2026-02-20 04:52:55,reload_offer,33.95,vihaan7794@okaxis,train
CLM0000142,ACC000110,2026-09-02 06:50:34,cashback_offer,144.18,zseshadri27@oksbi,train
CLM0000143,ACC000111,2026-12-28 21:03:11,signup_bonus,8.4,krisha51980@okhdfcbank,test
CLM0000144,ACC000112,2026-09-10 23:47:17,reload_offer,23.47,mitali13332@ybl,train
CLM0000145,ACC000113,2026-04-11 00:08:10,signup_bonus,16.78,zehaan51519@okhdfcbank,train
CLM0000146,ACC000114,2026-10-27 03:36:12,reload_offer,29.38,patelpriya173@okicici,test
CLM0000147,ACC000114,2026-10-08 23:07:36,referral_bonus,17.5,patelpriya173@okicici,test
CLM0000148,ACC000114,2026-09-20 18:35:34,reload_offer,9.08,patelpriya173@okicici,train
CLM0000149,ACC000114,2026-10-19 22:16:36,signup_bonus,121.8,patelpriya173@okicici,test
CLM0000150,ACC000116,2026-04-27 07:55:04,signup_bonus,32.2,rajata85304@ybl,train
CLM0000151,ACC000117,2026-10-25 13:04:58,referral_bonus,55.98,zbalakrishnan227@okhdfcbank,test
CLM0000152,ACC000118,2026-02-25 03:12:03,signup_bonus,5.25,farisbawa669@oksbi,train
CLM0000153,ACC000120,2026-07-31 01:26:53,signup_bonus,79.1,onkarsodhi960@okhdfcbank,train
CLM0000154,ACC000120,2026-07-16 21:14:15,signup_bonus,79.1,onkarsodhi960@okhdfcbank,train
CLM0000155,ACC000120,2026-08-19 19:06:01,referral_bonus,17.15,onkarsodhi960@okhdfcbank,train
CLM0000156,ACC000121,2026-10-06 15:49:56,cashback_offer,225.73,abha63609@paytm,test
CLM0000157,ACC000122,2026-04-26 11:34:53,referral_bonus,20.65,kdar64@ybl,train
CLM0000158,ACC000123,2026-02-13 12:39:46,reload_offer,13.65,ckannan146@okaxis,train
CLM0000159,ACC000123,2026-02-23 11:23:31,cashback_offer,26.95,ckannan146@okaxis,train
CLM0000160,ACC000123,2026-02-05 04:28:23,referral_bonus,40.95,ckannan146@okaxis,train
CLM0000161,ACC000125,2026-06-21 08:23:25,signup_bonus,12.58,hemachand180@okhdfcbank,train
CLM0000162,ACC000127,2026-10-07 12:40:00,cashback_offer,59.85,krishamadan996@okicici,test
CLM0000163,ACC000128,2026-04-29 05:55:07,cashback_offer,151.7,jagvi28968@okhdfcbank,train
CLM0000164,ACC000129,2026-05-21 04:29:00,cashback_offer,40.95,georgemadan481@okaxis,train
CLM0000165,ACC000129,2026-06-22 19:35:22,signup_bonus,117.25,georgemadan481@okaxis,train
CLM0000166,ACC000129,2026-07-05 22:45:02,reload_offer,40.95,georgemadan481@okaxis,train
CLM0000167,ACC000131,2026-09-22 16:43:25,referral_bonus,17.5,dattabachittar146@paytm,train
CLM0000168,ACC000131,2026-09-28 20:54:36,referral_bonus,40.95,dattabachittar146@paytm,train
CLM0000169,ACC000131,2026-10-06 01:17:46,signup_bonus,16.78,dattabachittar146@paytm,test
CLM0000170,ACC000132,2026-03-27 01:17:32,referral_bonus,29.38,asuri913@paytm,train
CLM0000171,ACC000132,2026-03-16 22:18:57,referral_bonus,19.77,asuri913@paytm,train
CLM0000172,ACC000134,2026-06-03 05:49:02,signup_bonus,25.53,ikbalshankar268@oksbi,train
CLM0000173,ACC000134,2026-06-03 19:19:57,reload_offer,16.78,ikbalshankar268@oksbi,train
CLM0000174,ACC000134,2026-06-08 17:36:50,referral_bonus,19.95,ikbalshankar268@oksbi,train
CLM0000175,ACC000134,2026-06-04 23:52:15,referral_bonus,40.95,ikbalshankar268@oksbi,train
CLM0000176,ACC000134,2026-05-14 20:07:04,referral_bonus,3.0,ikbalshankar268@oksbi,train
CLM0000177,ACC000135,2026-05-25 01:24:21,reload_offer,76.98,dassviraj551@ybl,train
CLM0000178,ACC000136,2026-02-18 14:47:00,cashback_offer,16.78,kabir48781@oksbi,train
CLM0000179,ACC000138,2026-07-22 08:10:25,reload_offer,40.95,lipikalal503@paytm,train
CLM0000180,ACC000138,2026-08-25 17:07:54,referral_bonus,49.35,lipikalal503@paytm,train
CLM0000181,ACC000138,2026-07-26 07:57:08,referral_bonus,23.78,lipikalal503@paytm,train
CLM0000182,ACC000138,2026-07-23 07:41:35,signup_bonus,70.0,lipikalal503@paytm,train
CLM0000183,ACC000139,2026-05-04 14:23:57,referral_bonus,8.75,yogicharvi514@okhdfcbank,train
CLM0000184,ACC000141,2026-07-30 14:25:33,cashback_offer,20.65,dmohanty594@okhdfcbank,train
CLM0000185,ACC000142,2026-05-14 05:38:54,signup_bonus,74.55,qbumb159@paytm,train
CLM0000186,ACC000142,2026-04-17 17:12:38,signup_bonus,17.15,qbumb159@paytm,train
CLM0000187,ACC000143,2026-12-23 18:33:20,signup_bonus,38.44,utkarsh70169@paytm,test
CLM0000188,ACC000149,2026-07-15 01:32:01,signup_bonus,19.77,nbhagat917@okaxis,train
CLM0000189,ACC000150,2026-12-30 07:38:33,signup_bonus,38.13,tben21@ybl,test
CLM0000190,ACC000152,2026-11-24 22:55:19,referral_bonus,79.1,tbalay357@oksbi,test
CLM0000191,ACC000153,2026-10-01 23:37:55,reload_offer,33.95,garima72535@okicici,test
CLM0000192,ACC000154,2026-07-30 12:28:57,referral_bonus,11.9,panchalosha747@ybl,train
CLM0000193,ACC000155,2026-01-18 18:56:13,reload_offer,26.95,lajitaparikh644@paytm,train
CLM0000194,ACC000155,2026-03-02 17:15:46,cashback_offer,8.75,lajitaparikh644@paytm,train
CLM0000195,ACC000157,2026-10-27 04:53:05,signup_bonus,13.65,uhans799@okaxis,test
CLM0000196,ACC000160,2026-05-21 02:33:51,signup_bonus,79.1,kurianrobert875@okaxis,train
CLM0000197,ACC000161,2026-09-22 19:44:39,cashback_offer,156.09,janani45215@oksbi,train
CLM0000198,ACC000161,2026-08-30 06:04:41,reload_offer,19.77,janani45215@oksbi,train
CLM0000199,ACC000162,2026-06-18 06:00:34,referral_bonus,37.78,edhitha44926@okaxis,train
CLM0000200,ACC000163,2026-09-13 23:11:48,referral_bonus,17.15,bajwavivaan807@paytm,train
CLM0000201,ACC000164,2026-10-26 12:08:39,referral_bonus,70.0,yraju569@oksbi,test
CLM0000202,ACC000165,2026-08-17 10:46:20,referral_bonus,22.75,fdeo718@okaxis,train
CLM0000203,ACC000166,2026-03-23 02:40:17,reload_offer,13.65,matthew93713@ybl,train
CLM0000204,ACC000166,2026-04-29 14:39:39,referral_bonus,25.18,matthew93713@ybl,train
CLM0000205,ACC000170,2026-05-06 19:22:59,reload_offer,33.95,joshigopal433@okicici,train
CLM0000206,ACC000170,2026-04-07 04:00:20,signup_bonus,20.28,joshigopal433@okicici,train
CLM0000207,ACC000171,2026-12-26 20:02:59,cashback_offer,40.95,oghose671@okaxis,test
CLM0000208,ACC000172,2026-09-04 08:12:53,referral_bonus,19.06,jairajmemon804@oksbi,train
CLM0000209,ACC000174,2026-10-08 03:03:57,referral_bonus,87.5,miteshmanda932@ybl,test
CLM0000210,ACC000175,2026-04-14 03:14:30,referral_bonus,218.4,dhruv64641@okhdfcbank,train
CLM0000211,ACC000178,2026-12-25 19:24:39,referral_bonus,37.78,viraj10535@oksbi,test
CLM0000212,ACC000179,2026-07-30 15:10:46,reload_offer,12.07,falanpradhan105@oksbi,train
CLM0000213,ACC000180,2026-01-03 02:41:08,cashback_offer,17.5,abeer19990@oksbi,train
CLM0000214,ACC000183,2026-10-08 14:53:39,cashback_offer,6.13,lprabhu16@paytm,test
CLM0000215,ACC000183,2026-11-16 10:03:03,reload_offer,61.23,lprabhu16@paytm,test
CLM0000216,ACC000184,2026-08-18 21:35:12,referral_bonus,52.85,tandonveda972@ybl,train
CLM0000217,ACC000185,2026-07-09 12:04:33,signup_bonus,16.78,odubey645@okaxis,train
CLM0000218,ACC000190,2026-11-17 02:37:44,reload_offer,20.28,pallavicomar281@ybl,test
CLM0000219,ACC000191,2026-12-12 13:34:30,referral_bonus,13.65,triveni22317@ybl,test
CLM0000220,ACC000192,2026-11-09 13:32:25,signup_bonus,12.58,kchakraborty90@ybl,test
CLM0000221,ACC000192,2026-12-08 18:41:14,signup_bonus,3.86,kchakraborty90@ybl,test
CLM0000222,ACC000192,2026-11-14 06:26:09,cashback_offer,144.53,kchakraborty90@ybl,test
CLM0000223,ACC000192,2026-10-28 00:31:47,cashback_offer,73.48,kchakraborty90@ybl,test
CLM0000224,ACC000194,2026-12-06 13:02:58,referral_bonus,20.28,chopraleela945@okaxis,test
CLM0000225,ACC000194,2026-11-18 02:34:04,referral_bonus,7.38,chopraleela945@okaxis,test
CLM0000226,ACC000195,2026-05-19 15:18:42,signup_bonus,35.0,charvidate22@oksbi,train
CLM0000227,ACC000196,2026-06-25 10:20:59,cashback_offer,40.95,dmurty839@ybl,train
CLM0000228,ACC000196,2026-06-27 19:01:35,referral_bonus,40.95,dmurty839@ybl,train
CLM0000229,ACC000198,2026-08-27 00:40:53,reload_offer,40.95,urvashigoswami724@oksbi,train
CLM0000230,ACC000198,2026-09-01 14:26:20,cashback_offer,55.98,urvashigoswami724@oksbi,train
CLM0000231,ACC000198,2026-09-12 21:30:20,cashback_offer,17.5,urvashigoswami724@oksbi,train
CLM0000232,ACC000200,2026-12-25 20:53:31,referral_bonus,139.65,benjaminbarad265@ybl,test
CLM0000233,ACC000202,2026-07-09 11:02:51,cashback_offer,20.28,lmorar483@okicici,train
CLM0000234,ACC000203,2026-06-22 10:01:14,referral_bonus,16.78,sanya87937@paytm,train
CLM0000235,ACC000203,2026-06-20 03:05:17,cashback_offer,86.19,sanya87937@paytm,train
CLM0000236,ACC000203,2026-06-15 09:05:01,signup_bonus,27.28,sanya87937@paytm,train
CLM0000237,ACC000204,2026-12-28 10:44:10,reload_offer,73.48,pshroff981@oksbi,test
CLM0000238,ACC000205,2026-03-17 17:55:51,cashback_offer,29.59,zgola340@okhdfcbank,train
CLM0000239,ACC000207,2026-11-09 12:13:39,referral_bonus,40.95,bariakalpit267@okaxis,test
CLM0000240,ACC000208,2026-08-30 23:52:28,signup_bonus,79.1,bhagatyamini574@okaxis,train
CLM0000241,ACC000209,2026-06-10 11:46:46,signup_bonus,23.78,atharvbhatti948@okhdfcbank,train
CLM0000242,ACC000209,2026-06-15 16:52:14,referral_bonus,39.53,atharvbhatti948@okhdfcbank,train
CLM0000243,ACC000210,2026-07-02 10:19:43,referral_bonus,37.78,harikaran524@okhdfcbank,train
CLM0000244,ACC000211,2026-12-12 19:20:28,cashback_offer,129.51,timothybhatti586@okhdfcbank,test
CLM0000245,ACC000213,2026-04-16 23:45:50,referral_bonus,37.78,aachalthakkar597@okicici,train
CLM0000246,ACC000213,2026-04-16 22:10:33,signup_bonus,13.65,aachalthakkar597@okicici,train
CLM0000247,ACC000213,2026-04-05 22:18:38,reload_offer,72.1,aachalthakkar597@okicici,train
CLM0000248,ACC000217,2026-05-01 21:01:08,referral_bonus,10.15,parsasneha458@ybl,train
CLM0000249,ACC000217,2026-04-30 16:27:04,cashback_offer,47.6,parsasneha458@ybl,train
CLM0000250,ACC000218,2026-03-04 02:52:23,reload_offer,15.4,krishnanmeera569@oksbi,train
CLM0000251,ACC000219,2026-07-27 05:25:29,reload_offer,20.65,kpillay106@okicici,train
CLM0000252,ACC000221,2026-05-13 12:10:57,reload_offer,13.65,minhaszaitra685@ybl,train
CLM0000253,ACC000221,2026-05-05 13:53:39,referral_bonus,20.65,minhaszaitra685@ybl,train
CLM0000254,ACC000223,2026-11-12 10:42:23,signup_bonus,87.5,gsahni835@okaxis,test
CLM0000255,ACC000223,2026-11-18 14:31:48,reload_offer,20.28,gsahni835@okaxis,test
CLM0000256,ACC000224,2026-09-29 07:00:39,referral_bonus,9.98,nkaran112@ybl,train
CLM0000257,ACC000224,2026-09-12 12:49:28,reload_offer,57.05,nkaran112@ybl,train
CLM0000258,ACC000228,2026-08-18 01:03:43,signup_bonus,15.32,shravyachar127@ybl,train
CLM0000259,ACC000230,2026-06-08 18:26:48,cashback_offer,21.0,sachi98472@ybl,train
CLM0000260,ACC000231,2026-05-24 00:04:48,cashback_offer,8.75,basudavid560@okaxis,train
CLM0000261,ACC000231,2026-05-22 06:45:05,signup_bonus,35.0,basudavid560@okaxis,train
CLM0000262,ACC000231,2026-06-01 07:53:11,signup_bonus,23.78,basudavid560@okaxis,train
CLM0000263,ACC000231,2026-06-24 13:06:59,cashback_offer,7.0,basudavid560@okaxis,train
CLM0000264,ACC000235,2026-02-22 19:52:45,signup_bonus,87.5,sridharabeer600@oksbi,train
CLM0000265,ACC000237,2026-06-01 15:42:32,reload_offer,168.0,lalvincent569@ybl,train
CLM0000266,ACC000237,2026-05-10 17:57:35,signup_bonus,13.65,lalvincent569@ybl,train
CLM0000267,ACC000237,2026-04-28 23:03:13,signup_bonus,17.15,lalvincent569@ybl,train
CLM0000268,ACC000237,2026-06-05 02:02:27,reload_offer,19.07,lalvincent569@ybl,train
CLM0000269,ACC000242,2026-02-07 10:12:12,cashback_offer,40.95,hsodhi235@oksbi,train
CLM0000270,ACC000242,2026-02-26 12:50:18,reload_offer,37.78,hsodhi235@oksbi,train
CLM0000271,ACC000242,2026-02-02 22:44:33,reload_offer,66.48,hsodhi235@oksbi,train
CLM0000272,ACC000248,2026-09-24 02:05:10,cashback_offer,71.74,ryan81202@okhdfcbank,train
CLM0000273,ACC000248,2026-09-06 06:52:49,reload_offer,23.78,ryan81202@okhdfcbank,train
CLM0000274,ACC000248,2026-09-07 22:09:19,cashback_offer,39.2,ryan81202@okhdfcbank,train
