upi_id,linked_account_count,linked_accounts,total_claim_count,total_payout_amount
bhatiaeshana916@ybl,1,ACC000053,0,0.0
jcherian840@ybl,1,ACC000054,0,0.0
chaudhariyashica77@ybl,1,ACC000055,1,26.95
savanteshana237@okaxis,1,ACC000056,4,109.03
aradhanasethi2@okicici,1,ACC000057,1,37.45
aashijain382@oksbi,1,ACC000058,0,0.0
ramanathanriya875@oksbi,1,ACC000059,2,175.31
nbora792@okicici,1,ACC000060,1,52.5
jasmitdhar209@paytm,1,ACC000061,0,0.0
vkanda131@okhdfcbank,1,ACC000062,0,0.0
qgaba416@paytm,1,ACC000063,1,20.65
zvarma513@okaxis,1,ACC000064,2,101.85
george50570@oksbi,1,ACC000065,2,43.36
rajagopalangarima216@okaxis,1,ACC000066,3,244.12
chowdhuryveer443@okicici,1,ACC000067,2,80.85
anita02876@okaxis,1,ACC000068,2,98.33
zkuruvilla88@ybl,1,ACC000069,0,0.0
fnarain661@paytm,1,ACC000070,1,37.97
pavanibora73@okicici,1,ACC000071,0,0.0
ladfiyaz2@oksbi,1,ACC000072,2,34.29
jairaj70722@paytm,1,ACC000073,3,103.25
kai08736@okaxis,1,ACC000074,3,75.57
adwetabedi779@okicici,1,ACC000075,1,87.5
samesh47972@ybl,1,ACC000076,4,310.43
andrew40338@okhdfcbank,1,ACC000077,0,0.0
yoshitasoman860@okicici,1,ACC000078,1,20.28
italwar575@okhdfcbank,1,ACC000079,0,0.0
tanveer3551@paytm,1,ACC000080,1,8.04
nidhipalan32@paytm,1,ACC000081,1,41.37
bobalaadhya264@okhdfcbank,1,ACC000082,1,52.5
qtoor947@okicici,1,ACC000083,0,0.0
chakradev7225@okhdfcbank,1,ACC000084,0,0.0
januja58835@okaxis,1,ACC000085,0,0.0
tejas52843@paytm,1,ACC000086,2,58.33
gmallick254@okaxis,1,ACC000087,2,58.47
chandaishani99@okaxis,1,ACC000088,0,0.0
ramesharin472@ybl,1,ACC000089,2,131.95
wadhwamohammed382@okicici,1,ACC000090,0,0.0
unanda289@ybl,1,ACC000091,2,37.78
calebvarghese5@okaxis,1,ACC000092,2,18.16
yaminibabu997@ybl,1,ACC000093,1,40.95
frederickbalasubramanian109@paytm,1,ACC000094,0,0.0
purisiya46@okhdfcbank,1,ACC000095,0,0.0
vrishtilalla839@okicici,1,ACC000096,0,0.0
voradominic815@okaxis,1,ACC000097,0,0.0
lankawahab159@paytm,1,ACC000098,1,54.24
ytak428@oksbi,1,ACC000099,0,0.0
chakradhar93660@okhdfcbank,1,ACC000100,1,20.28
daksha99416@ybl,1,ACC000101,3,59.99
rluthra357@okicici,1,ACC000102,1,40.25
tmannan309@okhdfcbank,1,ACC000103,0,0.0
jdani949@paytm,1,ACC000104,1,10.83
sbadal636@okaxis,1,ACC000105,1,17.26
yluthra393@okicici,1,ACC000106,0,0.0
falanchana906@ybl,1,ACC000107,5,483.92
kevin98516@okaxis,1,ACC000108,4,202.63
vihaan7794@okaxis,1,ACC000109,4,168.68
zseshadri27@oksbi,1,ACC000110,1,144.18
krisha51980@okhdfcbank,1,ACC000111,1,8.4
mitali13332@ybl,1,ACC000112,1,23.47
zehaan51519@okhdfcbank,1,ACC000113,1,16.78
patelpriya173@okicici,1,ACC000114,4,177.76
harsh04150@okicici,1,ACC000115,0,0.0
rajata85304@ybl,1,ACC000116,1,32.2
zbalakrishnan227@okhdfcbank,1,ACC000117,1,55.98
farisbawa669@oksbi,1,ACC000118,1,5.25
bhavinisunder309@ybl,1,ACC000119,0,0.0
onkarsodhi960@okhdfcbank,1,ACC000120,3,175.35
abha63609@paytm,1,ACC000121,1,225.73
kdar64@ybl,1,ACC000122,1,20.65
ckannan146@okaxis,1,ACC000123,3,81.55
isane733@ybl,1,ACC000124,0,0.0
hemachand180@okhdfcbank,1,ACC000125,1,12.58
anmolsachar729@oksbi,1,ACC000126,0,0.0
krishamadan996@okicici,1,ACC000127,1,59.85
jagvi28968@okhdfcbank,1,ACC000128,1,151.7
georgemadan481@okaxis,1,ACC000129,3,199.15
tsankaran933@okhdfcbank,1,ACC000130,0,0.0
dattabachittar146@paytm,1,ACC000131,3,75.23
asuri913@paytm,1,ACC000132,2,49.15
psen489@oksbi,1,ACC000133,0,0.0
ikbalshankar268@oksbi,1,ACC000134,5,106.21
dassviraj551@ybl,1,ACC000135,1,76.98
kabir48781@oksbi,1,ACC000136,1,16.78
chaudharyekavir981@ybl,1,ACC000137,0,0.0
lipikalal503@paytm,1,ACC000138,4,184.08
yogicharvi514@okhdfcbank,1,ACC000139,1,8.75
xavier78160@okaxis,1,ACC000140,0,0.0
dmohanty594@okhdfcbank,1,ACC000141,1,20.65
qbumb159@paytm,1,ACC000142,2,91.7
utkarsh70169@paytm,1,ACC000143,1,38.44
meghana30201@oksbi,1,ACC000144,0,0.0
jhawarhi13@okaxis,1,ACC000145,0,0.0
vihaanshroff475@oksbi,1,ACC000146,0,0.0
ikbal97718@ybl,1,ACC000147,0,0.0
qsahni873@okhdfcbank,1,ACC000148,0,0.0
nbhagat917@okaxis,1,ACC000149,1,19.77
tben21@ybl,1,ACC000150,1,38.13
isaiah12930@oksbi,1,ACC000151,0,0.0
tbalay357@oksbi,1,ACC000152,1,79.1
garima72535@okicici,1,ACC000153,1,33.95
panchalosha747@ybl,1,ACC000154,1,11.9
lajitaparikh644@paytm,1,ACC000155,2,35.7
dchahal218@okhdfcbank,1,ACC000156,0,0.0
uhans799@okaxis,1,ACC000157,1,13.65
royyug494@oksbi,1,ACC000158,0,0.0
prashadbakhshi497@okaxis,1,ACC000159,0,0.0
kurianrobert875@okaxis,1,ACC000160,1,79.1
janani45215@oksbi,1,ACC000161,2,175.86
edhitha44926@okaxis,1,ACC000162,1,37.78
bajwavivaan807@paytm,1,ACC000163,1,17.15
yraju569@oksbi,1,ACC000164,1,70.0
fdeo718@okaxis,1,ACC000165,1,22.75
matthew93713@ybl,1,ACC000166,2,38.83
farhan8322@ybl,1,ACC000167,0,0.0
pbhattacharyya35@okhdfcbank,1,ACC000168,0,0.0
naveen61350@okaxis,1,ACC000169,0,0.0
joshigopal433@okicici,1,ACC000170,2,54.23
oghose671@okaxis,1,ACC000171,1,40.95
jairajmemon804@oksbi,1,ACC000172,1,19.06
aachal4348@okhdfcbank,1,ACC000173,0,0.0
miteshmanda932@ybl,1,ACC000174,1,87.5
dhruv64641@okhdfcbank,1,ACC000175,1,218.4
harishshetty378@okhdfcbank,1,ACC000176,0,0.0
ckashyap36@okicici,1,ACC000177,0,0.0
viraj10535@oksbi,1,ACC000178,1,37.78
falanpradhan105@oksbi,1,ACC000179,1,12.07
abeer19990@oksbi,1,ACC000180,1,17.5
pillayharini945@oksbi,1,ACC000181,0,0.0
balvan93301@paytm,1,ACC000182,0,0.0
lprabhu16@paytm,1,ACC000183,2,67.36
tandonveda972@ybl,1,ACC000184,1,52.85
odubey645@okaxis,1,ACC000185,1,16.78
amadan998@paytm,1,ACC000186,0,0.0
tbehl616@okicici,1,ACC000187,0,0.0
bsaha827@okaxis,1,ACC000188,0,0.0
ronith66943@oksbi,1,ACC000189,0,0.0
pallavicomar281@ybl,1,ACC000190,1,20.28
triveni22317@ybl,1,ACC000191,1,13.65
kchakraborty90@ybl,1,ACC000192,4,234.45
madhavpall372@ybl,1,ACC000193,0,0.0
chopraleela945@okaxis,1,ACC000194,2,27.66
charvidate22@oksbi,1,ACC000195,1,35.0
dmurty839@ybl,1,ACC000196,2,81.9
dyaltristan892@paytm,1,ACC000197,0,0.0
urvashigoswami724@oksbi,1,ACC000198,3,114.43
leelaparmer40@okicici,1,ACC000199,0,0.0
benjaminbarad265@ybl,1,ACC000200,1,139.65
jshah962@okhdfcbank,1,ACC000201,0,0.0
lmorar483@okicici,1,ACC000202,1,20.28
sanya87937@paytm,1,ACC000203,3,130.25
pshroff981@oksbi,1,ACC000204,1,73.48
zgola340@okhdfcbank,1,ACC000205,1,29.59
jagratisani429@okaxis,1,ACC000206,0,0.0
bariakalpit267@okaxis,1,ACC000207,1,40.95
bhagatyamini574@okaxis,1,ACC000208,1,79.1
atharvbhatti948@okhdfcbank,1,ACC000209,2,63.31
harikaran524@okhdfcbank,1,ACC000210,1,37.78
timothybhatti586@okhdfcbank,1,ACC000211,1,129.51
nathan59911@ybl,1,ACC000212,0,0.0
aachalthakkar597@okicici,1,ACC000213,3,123.53
yashawini35137@paytm,1,ACC000214,0,0.0
oedwin720@okicici,1,ACC000215,0,0.0
yganguly124@okicici,1,ACC000216,0,0.0
parsasneha458@ybl,1,ACC000217,2,57.75
krishnanmeera569@oksbi,1,ACC000218,1,15.4
kpillay106@okicici,1,ACC000219,1,20.65
sathevictor113@oksbi,1,ACC000220,0,0.0
minhaszaitra685@ybl,1,ACC000221,2,34.3
aarav03347@okaxis,1,ACC000222,0,0.0
gsahni835@okaxis,1,ACC000223,2,107.78
nkaran112@ybl,1,ACC000224,2,67.03
pantdaksha649@oksbi,1,ACC000225,0,0.0
odikamitra243@oksbi,1,ACC000226,0,0.0
idutt983@ybl,1,ACC000227,0,0.0
shravyachar127@ybl,1,ACC000228,1,15.32
neelima40295@okaxis,1,ACC000229,0,0.0
sachi98472@ybl,1,ACC000230,1,21.0
basudavid560@okaxis,1,ACC000231,4,74.53
nathanielbhardwaj163@ybl,1,ACC000232,0,0.0
luckysachdev363@paytm,1,ACC000233,0,0.0
gghosh427@okicici,1,ACC000234,0,0.0
sridharabeer600@oksbi,1,ACC000235,1,87.5
vbuch389@okaxis,1,ACC000236,0,0.0
lalvincent569@ybl,1,ACC000237,4,217.87
charles4891@okicici,1,ACC000238,0,0.0
chakrika31913@oksbi,1,ACC000239,0,0.0
warinder32552@ybl,1,ACC000240,0,0.0
mnarasimhan476@okicici,1,ACC000241,0,0.0
hsodhi235@oksbi,1,ACC000242,3,145.21
kkaur352@paytm,1,ACC000243,0,0.0
kbrahmbhatt525@okhdfcbank,1,ACC000244,0,0.0
choudhuryhredhaan647@okhdfcbank,1,ACC000245,0,0.0
ayushbalasubramanian62@paytm,1,ACC000246,0,0.0
birchakradhar709@okaxis,1,ACC000247,0,0.0
ryan81202@okhdfcbank,1,ACC000248,4,160.97
pchhabra971@ybl,1,ACC000249,3,125.98
chahalbhavna274@paytm,1,ACC000250,5,69.56
chaitalynagar323@oksbi,1,ACC000251,0,0.0
aahana40973@oksbi,1,ACC000252,1,10.83
yahvi7423@okhdfcbank,1,ACC000253,0,0.0
bbalasubramanian406@ybl,1,ACC000254,2,33.68
ibava568@okhdfcbank,1,ACC000255,2,152.25
manionkar723@okhdfcbank,1,ACC000256,0,0.0
chatura05857@okhdfcbank,1,ACC000257,1,20.28
wardapalan210@okhdfcbank,1,ACC000258,0,0.0
bhanumatikala922@okaxis,1,ACC000259,1,17.15
imaranbuch695@ybl,1,ACC000260,2,22.9
narainishani795@okhdfcbank,1,ACC000261,3,178.66
samiaryan837@paytm,1,ACC000262,0,0.0
kthaker960@okicici,1,ACC000263,0,0.0
trivenidate255@okaxis,1,ACC000264,2,38.83
palleta41@ybl,1,ACC000265,1,15.23
knaik579@okhdfcbank,1,ACC000266,0,0.0
vihaan25358@oksbi,1,ACC000267,0,0.0
yashicahanda622@paytm,1,ACC000268,2,96.58
nachiketkota712@paytm,1,ACC000269,1,26.95
naveen35953@okicici,1,ACC000270,0,0.0
galaharsh521@oksbi,1,ACC000271,2,45.3
chasmummishra268@okhdfcbank,1,ACC000272,2,80.83
mandsamuel207@paytm,1,ACC000273,0,0.0
rastogirajeshri723@okhdfcbank,1,ACC000274,0,0.0
ubika02906@paytm,1,ACC000275,2,54.56
kibequshi473@okaxis,1,ACC000276,2,137.88
qkarnik114@paytm,1,ACC000277,0,0.0
pratyushdash297@okhdfcbank,1,ACC000278,5,199.11
sainixavier9@okicici,1,ACC000279,2,12.8
zashilsampath794@okaxis,1,ACC000280,1,26.25
rvasa761@ybl,1,ACC000281,0,0.0
advaith67140@ybl,1,ACC000282,1,21.0
tejas23434@okaxis,1,ACC000283,0,0.0
tjayaraman454@paytm,1,ACC000284,2,666.83
hemal67876@ybl,1,ACC000285,2,114.1
wvarkey926@paytm,1,ACC000286,4,77.66
daksh44998@okaxis,1,ACC000287,0,0.0
sahotaosha493@paytm,1,ACC000288,1,5.31
ikbal34708@oksbi,1,ACC000289,2,58.1
manyashere117@okhdfcbank,1,ACC000290,0,0.0
hansupasna666@oksbi,1,ACC000291,2,69.65
irasachdev581@oksbi,1,ACC000292,1,79.1
upasnapant105@okaxis,1,ACC000293,1,20.28
bkulkarni141@okicici,1,ACC000294,0,0.0
ishita34719@ybl,1,ACC000295,0,0.0
patilmichael637@okhdfcbank,1,ACC000296,0,0.0
chadaekta824@paytm,1,ACC000297,0,0.0
alexander03971@okicici,1,ACC000298,1,40.95
harrison92116@oksbi,1,ACC000299,1,37.78
ypal117@oksbi,1,ACC000300,1,10.15
gautammishra857@okhdfcbank,1,ACC000301,2,135.1
sarnajackson820@oksbi,1,ACC000302,2,39.78
liamsolanki319@okhdfcbank,1,ACC000303,0,0.0
sdhawan340@ybl,1,ACC000304,1,37.78
dyalekani471@ybl,1,ACC000305,1,37.78
udyati56583@ybl,1,ACC000306,0,0.0
golejalsa894@okhdfcbank,1,ACC000307,1,5.36
narayanangirindra698@oksbi,1,ACC000308,2,176.4
bahadurjitkala688@okicici,1,ACC000309,1,29.22
girindra55211@oksbi,1,ACC000310,0,0.0
bhanumatisaran148@okicici,1,ACC000311,1,43.75
mannbrinda362@okaxis,1,ACC000312,1,30.78
yahvi48283@okicici,1,ACC000313,2,217.68
vdalal290@ybl,1,ACC000314,0,0.0
gaganbaria50@oksbi,1,ACC000315,2,10.3
zbawa218@okicici,1,ACC000316,3,89.23
vaishnavibhasin613@okaxis,1,ACC000317,0,0.0
odin670@okicici,1,ACC000318,1,73.48
kalabalveer543@oksbi,1,ACC000319,0,0.0
harrisongolla158@paytm,1,ACC000320,1,15.4
aryajyoti795@paytm,1,ACC000321,0,0.0
aarna42371@ybl,1,ACC000322,1,20.65
fbhagat155@paytm,1,ACC000323,1,17.15
samanidhi210@ybl,1,ACC000324,1,7.18
edugal542@oksbi,1,ACC000325,2,42.35
sodhisimon676@paytm,1,ACC000326,0,0.0
aagrawal420@okaxis,1,ACC000327,2,58.1
kamdarjairaj334@okaxis,1,ACC000328,0,0.0
shravyagrover489@okicici,1,ACC000329,0,0.0
fradomemon498@okhdfcbank,1,ACC000330,0,0.0
dkumar54@okhdfcbank,1,ACC000331,0,0.0
buchlopa959@okicici,1,ACC000332,0,0.0
vidhibhasin155@ybl,1,ACC000333,1,15.05
rsinghal904@okicici,1,ACC000334,3,382.53
patilnihal67@oksbi,1,ACC000335,1,11.53
rsethi152@paytm,1,ACC000336,1,17.5
ati09994@okhdfcbank,1,ACC000337,0,0.0
alexander29271@okicici,1,ACC000338,1,50.73
krisharam669@okaxis,1,ACC000339,1,20.28
siyamander430@okaxis,1,ACC000340,4,278.35
pahal29680@oksbi,1,ACC000341,1,6.33
manilohit685@okicici,1,ACC000342,4,1816.92
anushatata628@paytm,1,ACC000343,1,79.1
mraj269@okaxis,1,ACC000344,0,0.0
dayamaibhandari373@ybl,1,ACC000345,0,0.0
aachalandra330@okaxis,1,ACC000346,1,20.65
yadavisha679@ybl,1,ACC000347,2,93.76
ekani78778@ybl,1,ACC000348,2,136.32
georgegolla570@okhdfcbank,1,ACC000349,1,20.65
neha82272@okaxis,1,ACC000350,1,37.1
gprasad735@okaxis,1,ACC000351,2,90.98
dugaldiya133@ybl,1,ACC000352,0,0.0
chandrabahadurjit881@oksbi,1,ACC000353,0,0.0
qkala111@ybl,1,ACC000354,1,20.63
sekhonkaran408@okaxis,1,ACC000355,1,18.53
pratyushradhakrishnan568@okicici,1,ACC000356,0,0.0
tara71585@oksbi,1,ACC000357,1,117.25
chanaaarini729@okicici,1,ACC000358,0,0.0
toormaya144@okaxis,1,ACC000359,2,45.76
wahab32393@okicici,1,ACC000360,0,0.0
daniel80315@okicici,1,ACC000361,0,0.0
gbhalla207@okhdfcbank,1,ACC000362,0,0.0
chanchalsastry145@okicici,1,ACC000363,1,10.15
kamya4670@okaxis,1,ACC000364,3,132.3
ridhikhare209@okhdfcbank,1,ACC000365,0,0.0
sidhurobert834@ybl,1,ACC000366,2,37.8
farasprakash150@paytm,1,ACC000367,1,9.08
ychatterjee675@okicici,1,ACC000368,2,27.08
unori724@ybl,1,ACC000369,3,38.94
luke53229@paytm,1,ACC000370,0,0.0
cdhillon342@paytm,1,ACC000371,1,73.48
jkoshy75@okicici,1,ACC000372,0,0.0
gaurika24554@oksbi,1,ACC000373,1,20.65
jcomar991@oksbi,1,ACC000374,1,144.18
vanshamangat338@paytm,1,ACC000375,0,0.0
rachana43466@oksbi,1,ACC000376,1,15.44
ojasvi20594@oksbi,1,ACC000377,0,0.0
amolsathe384@paytm,1,ACC000378,0,0.0
saanviagarwal6@paytm,1,ACC000379,3,165.45
quincy56480@okhdfcbank,1,ACC000380,3,26.21
pratyush22246@oksbi,1,ACC000381,0,0.0
ronithbuch90@okhdfcbank,1,ACC000382,1,12.93
lmahal87@paytm,1,ACC000383,1,19.07
darikajain346@oksbi,1,ACC000384,1,35.0
hbhakta607@okhdfcbank,1,ACC000385,3,42.2
achana948@okhdfcbank,1,ACC000386,0,0.0
amairakothari39@okaxis,1,ACC000387,0,0.0
balhaar2595@paytm,1,ACC000388,1,49.35
zinal78139@okicici,1,ACC000389,0,0.0
ekaniraj169@okaxis,1,ACC000390,1,10.72
hritik77671@paytm,1,ACC000391,1,8.75
anshkohli243@okaxis,1,ACC000392,1,59.85
oliverchauhan846@okaxis,1,ACC000393,0,0.0
bahlgopal680@ybl,1,ACC000394,1,32.2
andrew99429@okaxis,1,ACC000395,0,0.0
wchauhan404@okaxis,1,ACC000396,2,30.8
mahajanjatin124@okhdfcbank,1,ACC000397,1,26.95
imaran11172@okhdfcbank,1,ACC000398,1,13.65
utkarshdin810@ybl,1,ACC000399,3,47.23
bgala566@paytm,1,ACC000400,2,56.67
cvora273@okicici,1,ACC000401,1,11.9
hamsini63373@paytm,1,ACC000402,0,0.0
nandini80387@okaxis,1,ACC000403,0,0.0
zaid6036@okicici,1,ACC000404,0,0.0
nairrachita602@ybl,1,ACC000405,0,0.0
liamsalvi299@ybl,1,ACC000406,0,0.0
zbatra505@paytm,1,ACC000407,1,16.78
banerjeeamaira356@okhdfcbank,1,ACC000408,2,28.94
chaudhryzashil986@paytm,1,ACC000409,5,474.57
balveermani462@ybl,1,ACC000410,2,28.91
jaibhasin771@oksbi,1,ACC000411,2,211.73
frado7943@ybl,1,ACC000412,2,71.04
vaidyakaran99@ybl,1,ACC000413,0,0.0
anusha31170@paytm,1,ACC000414,2,59.15
pkant359@okhdfcbank,1,ACC000415,0,0.0
triveni84137@okhdfcbank,1,ACC000416,1,26.25
azaan35592@okaxis,1,ACC000417,1,37.78
arandhawa513@oksbi,1,ACC000418,1,13.65
ekiyananda628@okicici,1,ACC000419,0,0.0
chakrikabhandari219@okhdfcbank,1,ACC000420,1,35.0
pallria74@oksbi,1,ACC000421,1,20.28
vpandya457@ybl,1,ACC000422,5,190.0
omajanazareth550@paytm,1,ACC000423,3,91.24
aradhanavasa419@okhdfcbank,1,ACC000424,1,189.7
yluthra658@okaxis,1,ACC000425,0,0.0
nitarachauhan466@okhdfcbank,1,ACC000426,0,0.0
tankmitali79@paytm,1,ACC000427,0,0.0
nmammen792@okicici,1,ACC000428,1,51.1
sshankar737@oksbi,1,ACC000429,0,0.0
jvora46@paytm,1,ACC000430,1,18.53
tatalajita814@okicici,1,ACC000431,0,0.0
maanav69399@okhdfcbank,1,ACC000432,4,89.57
ekiya93220@paytm,1,ACC000433,4,98.34
banne497@paytm,1,ACC000434,1,7.68
imital899@okhdfcbank,1,ACC000435,1,13.65
hvarughese735@paytm,1,ACC000436,0,0.0
cparmar391@oksbi,1,ACC000437,3,197.22
birveer50@okaxis,1,ACC000438,1,47.23
mdube19@okaxis,1,ACC000439,0,0.0
soza147@ybl,1,ACC000440,1,16.78
jananinadkarni872@oksbi,1,ACC000441,0,0.0
yauvani21630@okicici,1,ACC000442,3,263.18
yashodhara6289@ybl,1,ACC000443,0,0.0
yashasviguha92@okicici,1,ACC000444,1,87.5
panditbrijesh77@oksbi,1,ACC000445,1,27.28
mohantyaayush589@paytm,1,ACC000446,4,201.23
auroraayushman634@okicici,1,ACC000447,0,0.0
yoshita2930@okicici,1,ACC000448,1,17.5
nakshvasa281@okhdfcbank,1,ACC000449,3,87.4
borraonkar545@okhdfcbank,1,ACC000450,1,43.73
zsani217@ybl,1,ACC000451,1,15.38
maanas35774@oksbi,1,ACC000452,0,0.0
bhatnagarikshita449@ybl,1,ACC000453,0,0.0
bhagatthomas94@paytm,1,ACC000454,2,31.11
sarrafchatura66@paytm,1,ACC000455,1,29.22
duttaoscar705@okicici,1,ACC000456,2,48.12
amitter882@okaxis,1,ACC000457,4,116.82
pbir162@paytm,1,ACC000458,1,37.45
odikamore393@okicici,1,ACC000459,2,34.3
kohligagan556@paytm,1,ACC000460,2,47.51
abhimanyumannan293@okaxis,1,ACC000461,1,7.0
lekha56247@paytm,1,ACC000462,1,37.78
jpanchal31@okaxis,1,ACC000463,2,46.53
hemangini36932@okhdfcbank,1,ACC000464,1,13.65
nachiket32569@oksbi,1,ACC000465,0,0.0
saanvisibal113@oksbi,1,ACC000466,3,147.0
jhalakpandit77@okaxis,1,ACC000467,1,5.25
chamelisoni12@paytm,1,ACC000468,1,12.93
tdeep681@ybl,1,ACC000469,2,33.95
ipillai717@okhdfcbank,1,ACC000470,0,0.0
jeremiahdas450@okhdfcbank,1,ACC000471,1,35.0
lekha0913@okicici,1,ACC000472,5,140.85
goelvincent33@okaxis,1,ACC000473,0,0.0
birjanaki245@oksbi,1,ACC000474,1,39.2
dominicmukhopadhyay124@okicici,1,ACC000475,2,39.02
wmandal83@ybl,1,ACC000476,2,34.3
aradhanagoda98@oksbi,1,ACC000477,0,0.0
nitara07431@oksbi,1,ACC000478,0,0.0
guneet24120@okaxis,1,ACC000479,2,20.41
banjeetravel585@okaxis,1,ACC000480,1,129.5
chavvidugal694@oksbi,1,ACC000481,2,385.72
praneel93477@okicici,1,ACC000482,1,35.0
radhika95922@paytm,1,ACC000483,0,0.0
brijesh99131@okhdfcbank,1,ACC000484,2,46.42
baradeiravati591@ybl,1,ACC000485,4,82.69
sahnimeera650@okhdfcbank,1,ACC000486,1,20.65
avnivyas616@okaxis,1,ACC000487,0,0.0
vsavant548@okaxis,1,ACC000488,4,275.1
dtrivedi958@oksbi,1,ACC000489,1,87.5
vrishtigulati896@okicici,1,ACC000490,4,131.2
owen82825@oksbi,1,ACC000491,0,0.0
zaid02319@oksbi,1,ACC000492,5,148.57
deepadevan247@okicici,1,ACC000493,0,0.0
tkhanna742@oksbi,1,ACC000494,0,0.0
pdeol197@okhdfcbank,1,ACC000495,1,20.65
wrideshnath790@okicici,1,ACC000496,0,0.0
rgara407@okicici,1,ACC000497,3,36.73
nravi473@oksbi,1,ACC000498,4,53.98
vidhi3069@okicici,1,ACC000499,0,0.0
indrajitmore789@paytm,1,ACC000500,1,26.95
sai7990@paytm,1,ACC000501,5,88.51
bathadvay734@paytm,1,ACC000502,1,14.0
vchacko619@okaxis,1,ACC000503,0,0.0
ikbal76372@oksbi,1,ACC000504,1,26.95
abhiram51485@okhdfcbank,1,ACC000505,0,0.0
yatan12767@okhdfcbank,1,ACC000506,0,0.0
sdhillon29@okicici,1,ACC000507,3,50.73
harshmukherjee589@okicici,1,ACC000508,0,0.0
ishaninagarajan869@okicici,1,ACC000509,0,0.0
zehaan30404@okaxis,1,ACC000510,3,58.94
nbedi260@ybl,1,ACC000511,0,0.0
chandanibuch731@okicici,1,ACC000512,0,0.0
saanviratti900@okhdfcbank,1,ACC000513,1,35.0
msrinivas467@okicici,1,ACC000514,0,0.0
vaidyapavani370@okhdfcbank,1,ACC000515,0,0.0
varkeyoviya70@okaxis,1,ACC000516,1,47.23
godanitesh654@paytm,1,ACC000517,0,0.0
rohan71757@okicici,1,ACC000518,2,32.55
owarrior372@paytm,1,ACC000519,1,79.1
bhasingarima735@okhdfcbank,1,ACC000520,2,67.2
epillay162@okaxis,1,ACC000521,0,0.0
ayaan33528@paytm,1,ACC000522,3,75.91
dinkamya901@oksbi,1,ACC000523,3,107.76
wridesh97647@okaxis,1,ACC000524,2,193.53
samakshchoudhury95@oksbi,1,ACC000525,3,114.45
guhazayan739@paytm,1,ACC000526,0,0.0
ikara891@oksbi,1,ACC000527,6,258.14
reddyethan318@okhdfcbank,1,ACC000528,1,13.67
varmaharsh428@okaxis,1,ACC000529,0,0.0
rehaansoman531@okhdfcbank,1,ACC000530,0,0.0
ravelwarjas719@okaxis,1,ACC000531,1,26.25
triptimital661@okhdfcbank,1,ACC000532,1,59.85
jaggiishwar975@okaxis,1,ACC000533,1,58.45
